Name	Item	Piece	RI
b	28	4	1.51605
b	28	5	1.51609
b	29	1	1.51214
b	29	2	1.51215
b	29	3	1.51221
b	29	4	1.51214
b	29	5	1.5121
b	30	1	1.51594
b	30	2	1.516
b	30	3	1.51599
b	30	4	1.51595
b	30	5	1.51604
b	31	1	1.51727
b	31	2	1.51725
b	31	3	1.51726
b	31	4	1.51731
b	31	5	1.51729
b	32	1	1.51549
b	32	2	1.51556
b	32	3	1.51551
b	32	4	1.51554
b	32	5	1.51549
b	33	1	1.51458
b	33	2	1.51452
b	33	3	1.51419
b	33	4	1.51443
b	33	5	1.51418
b	34	1	1.5158
b	34	2	1.51583
b	34	3	1.51581
b	34	4	1.51582
b	34	5	1.51581
b	35	1	1.51641
b	35	2	1.51672
b	35	3	1.51661
b	35	4	1.51677
b	35	5	1.51647
b	36	1	1.51498
b	36	2	1.51499
b	36	3	1.51496
b	36	4	1.51497
b	36	5	1.51499
b	37	1	1.52002
b	37	2	1.51996
b	37	3	1.51994
b	37	4	1.51997
b	37	5	1.52001
b	38	1	1.51556
b	38	2	1.51559
b	38	3	1.51555
b	38	4	1.51559
b	38	5	1.51559
b	39	1	1.51593
b	39	2	1.51596
b	39	3	1.51599
b	39	4	1.5159
b	39	5	1.51596
b	40	1	1.51707
b	40	2	1.51704
b	40	3	1.517
b	40	4	1.51701
b	40	5	1.51704
b	41	1	1.52151
b	41	2	1.52152
b	41	3	1.52145
b	41	4	1.52142
b	41	5	1.52151
b	42	1	1.52011
b	42	2	1.52008
b	42	3	1.52009
b	42	4	1.52
b	42	5	1.52008
b	43	1	1.52084
b	43	2	1.52086
b	43	3	1.52089
b	43	4	1.52091
b	43	5	1.52085
b	44	1	1.51991
b	44	2	1.51996
b	44	3	1.51987
b	44	4	1.51991
b	44	5	1.51993
b	45	1	1.51978
b	45	2	1.51983
b	45	3	1.51982
b	45	4	1.51984
b	45	5	1.51983
b	46	1	1.51743
b	46	2	1.51741
b	46	3	1.51745
b	46	4	1.51743
b	46	5	1.51746
b	47	1	1.51481
b	47	2	1.51442
b	47	3	1.51461
b	47	4	1.51456
b	47	5	1.51449
b	48	1	1.51831
b	48	2	1.5184
b	48	3	1.51834
b	48	4	1.51835
b	48	5	1.51834
b	49	1	1.52071
b	49	2	1.52076
b	49	3	1.52077
b	49	4	1.52076
b	49	5	1.52079
b	50	1	1.52116
b	50	2	1.52116
b	50	3	1.52115
b	50	4	1.52116
b	50	5	1.52115
c	51	1	1.51645
c	51	2	1.51641
c	51	3	1.51644
c	51	4	1.51647
c	51	5	1.51645
c	52	1	1.52318
c	52	2	1.52322
c	52	3	1.52319
c	52	4	1.52318
c	52	5	1.52322
c	53	1	1.51446
c	53	2	1.51456
c	53	3	1.51446
c	53	4	1.51439
c	53	5	1.51448
c	54	1	1.51847
c	54	2	1.51844
c	54	3	1.51841
c	54	4	1.51846
c	54	5	1.51846
c	55	1	1.51904
c	55	2	1.51903
c	55	3	1.51902
c	55	4	1.51898
c	55	5	1.51899
c	56	1	1.52028
c	56	2	1.52025
c	56	3	1.52026
c	56	4	1.52022
c	56	5	1.52023
c	57	1	1.5201
c	57	2	1.52017
c	57	3	1.52017
c	57	4	1.52013
c	57	5	1.52011
c	58	1	1.52014
c	58	2	1.52015
c	58	3	1.52014
c	58	4	1.52015
c	58	5	1.52018
c	59	1	1.51899
c	59	2	1.51899
c	59	3	1.51899
c	59	4	1.51897
c	59	5	1.51898
c	60	1	1.52031
c	60	2	1.5203
c	60	3	1.52032
c	60	4	1.52032
c	60	5	1.52029
c	61	1	1.52006
c	61	2	1.52008
c	61	3	1.5201
c	61	4	1.52006
c	61	5	1.52005
c	62	1	1.52039
c	62	2	1.52045
c	62	3	1.52047
c	62	4	1.52042
c	62	5	1.52039
c	63	1	1.5189
c	63	2	1.51883
c	63	3	1.51893
c	63	4	1.51883
c	63	5	1.51887
c	64	1	1.5159
c	64	2	1.51593
c	64	3	1.51596
c	64	4	1.51594
c	64	5	1.51605
c	65	1	1.52381
c	65	2	1.52379
c	65	3	1.52384
c	65	4	1.52385
c	65	5	1.5238
c	66	1	1.52135
c	66	2	1.52137
c	66	3	1.52129
c	66	4	1.52135
c	66	5	1.52134
c	67	1	1.52101
c	67	2	1.52102
c	67	3	1.52101
c	67	4	1.52095
c	67	5	1.52101
c	68	1	1.51994
c	68	2	1.51995
c	68	3	1.51991
c	68	4	1.51993
c	68	5	1.51998
c	69	1	1.5199
c	69	2	1.51965
c	69	3	1.51971
c	69	4	1.51972
c	69	5	1.51964
c	70	1	1.51809
c	70	2	1.51814
c	70	3	1.51803
c	70	4	1.51806
c	70	5	1.51812
c	71	1	1.51862
c	71	2	1.51864
c	71	3	1.51865
c	71	4	1.51866
c	71	5	1.51862
c	72	1	1.51604
c	72	2	1.51601
c	72	3	1.51604
c	72	4	1.51603
c	72	5	1.51606
c	73	1	1.51648
c	73	2	1.51655
c	73	3	1.51647
c	73	4	1.51647
c	73	5	1.51643
c	74	1	1.52582
c	74	2	1.52606
c	74	3	1.52601
c	74	4	1.52601
c	74	5	1.526
c	75	1	1.5139
c	75	2	1.51397
c	75	3	1.51399
c	75	4	1.51394
c	75	5	1.51399
c	76	1	1.52417
c	76	2	1.52418
c	76	3	1.5242
c	76	4	1.52425
c	76	5	1.52424
c	77	1	1.52389
c	77	2	1.52398
c	77	3	1.52397
c	77	4	1.52397
c	77	5	1.52393
c	78	1	1.52443
c	78	2	1.52441
c	78	3	1.52452
c	78	4	1.52448
c	78	5	1.52451
c	79	1	1.52155
c	79	2	1.52164
c	79	3	1.52162
c	79	4	1.52163
c	79	5	1.52163
c	80	1	1.52323
c	80	2	1.52323
c	80	3	1.52322
c	80	4	1.52319
c	80	5	1.52324
